"Tdiff","Tpdiff","Trho","Tprho","Tcause","Mdiff","Mpdiff","Mrho","Mprho","Mcause","xstr"
-0.0194968541691284,0.0606808546685069,0.448881973139334,3.83012714524279e-17,0,-0.0168845927475949,0.0326329851334947,0.461999354073573,1.22278370091161e-18,1,0.313405484892428
-0.00635131847053536,0.12279021240093,0.278015432415795,3.21554781720517e-12,0,-0.0175370939275015,0.0582151524043885,0.462965357430407,1.2336083849278e-17,0,0.0983840043190867
-0.00151958811316771,0.781971273760484,0.29134320111393,7.18460072380441e-09,0,-0.00907774405972275,0.201404620641184,0.421198686110631,1.33818967203992e-16,0,0.76716296072118
-0.0185823019885644,0.0142061267897289,0.771037467148161,5.30728254948267e-07,1,-0.0035240652794055,0.393314893292568,0.326044376215385,1.14365879178042e-13,0,0.362888359231874
-0.0180432238448554,0.0100929483466469,0.903118821724838,5.16297681634639e-07,1,-0.0103850225541513,0.256156067946233,0.537782845779084,8.82126951421071e-20,0,0.925758810015395
-0.0142590878392276,0.104063171485274,0.497196452891052,4.08923068928665e-18,0,0.000654661150887776,0.924323868406141,0.372090562394048,4.17024685254774e-16,0,0.862905581248924
-0.0228756085926771,0.010555317991649,0.717260394732441,5.97848147012247e-22,1,-0.013614041619529,0.0577768030466882,0.775126465584819,5.65301743066802e-07,0,0.486912530614063
-0.00417844782470109,0.455165982512743,0.281813917381146,1.30336861458034e-09,0,-0.0210270762997279,0.0356944383760272,0.614191278991569,1.02905097704594e-21,1,0.234879166353494
-0.0428744409118171,0.0481340365998577,0.85351269960677,3.69155220788129e-23,1,-0.0198444589313441,0.0748455153611998,0.786166696149997,1.75003042863059e-22,0,0.329088934930041
-0.0119411069116963,0.0591867527273674,0.549321765197292,6.3920217741406e-21,0,-0.0163805855987778,0.0994796417236906,0.5356983841232,1.07051998706936e-18,0,0.392234768718481
-0.00937886318333354,0.236214879166251,0.526960143291346,8.93562658413318e-18,0,-0.0165757583219516,0.0226545367342415,0.563817337422304,8.41939983646865e-21,1,0.707666028290987
-0.004403988539127,0.402977982094209,0.340334389063874,1.45337826351003e-12,0,-0.00871131700722351,0.231295070543879,0.339216250475086,2.13628845362356e-14,0,0.439165268326178
-0.00583137502089061,0.526843033069328,0.388071280802218,4.59379930120157e-13,0,-0.0399805498479006,0.068889506830127,0.589363353117124,3.6307103642971e-21,0,0.871397200506181
-0.0162856967316959,0.0809172833454456,0.605214852542655,2.75270295007137e-21,0,-0.0164332982612687,0.0315288650473978,0.616266750855081,7.71968094096167e-07,1,0.603919780813158
-0.0321387554217204,0.0327149858437578,0.63976743720517,1.40571918895613e-21,1,-0.00471547420397907,0.541358920717625,0.420505039436446,6.64065121803352e-11,0,0.663715533912182
-0.0232376410026563,0.00574058854103177,0.825617150969915,5.72135070527091e-07,1,-0.0165558582946296,0.0694059626118415,0.461852738305585,1.66789342390709e-19,0,0.719694269122556
-0.00970541311258244,0.261931276414458,0.409493502201522,4.81460813719938e-14,0,-0.00869211379943155,0.1992506416176,0.443177362173885,4.51521390719658e-17,0,0.401590330759063
-0.0241738172073556,0.0366034159625376,0.713509983261491,2.77672287044344e-22,1,-0.0238382883688381,0.0242882452791447,0.742457598349987,4.8301256804154e-22,1,0.0402864175848663
-0.0145515775755301,0.0969491191897264,0.3759701067439,1.16426795500701e-12,0,-0.00417447814987808,0.446829071549008,0.284119832907865,1.32803914189825e-12,0,0.567970153642818
-0.0282687179660283,0.0733907106540142,0.748810017876413,5.67418081250761e-22,0,-0.0057262041413706,0.495747691117241,0.608591397938185,1.91776622869963e-20,0,0.648090407252312
-0.0101390580123134,0.20646302183986,0.407509531431875,1.12637460343245e-15,0,-0.0145167296664745,0.16531363552827,0.516468671553645,4.34427016778032e-19,0,0.773109618574381
-0.0148466245969593,0.0991359348491552,0.388463571951924,5.69778038856328e-16,0,-0.0108659527721041,0.135108381300141,0.380628862756801,1.01821823635884e-13,0,0.216870038537309
-0.00911013311256755,0.21626862180897,0.319302778284195,2.10301568627817e-12,0,-0.00204854469189888,0.602482147399556,0.131077767430654,0.00379702895702636,0,0.223421411123127
-0.0046408540727679,0.696191500236571,0.503215764255216,2.0590502138572e-16,0,-0.0177916274006587,0.0831503549145384,0.540903593868217,2.39739000707261e-20,0,0.974538144655526
-0.0144578155842104,0.167532091168506,0.683086802348667,9.17121226857127e-21,0,-0.0229339423475314,0.0234294930853049,0.629224822466892,1.55335704521137e-21,1,0.974220310105011
-0.0261420802997734,0.0632719086286115,0.579682922733942,3.29063531841185e-21,0,-0.023065390522582,0.0308779973566034,0.61720268556602,5.01965948626495e-20,1,0.289220387116075
-0.0178163780904083,0.0236351477378773,0.571204753066441,8.81631631306739e-21,1,-0.0157441462816866,0.0455074924265683,0.552860069289238,3.32491244423161e-20,1,0.159923711325973
-0.00376044510592474,0.447070492043811,0.651541657531559,8.35041604207912e-20,0,-0.0212260146188051,0.115733704935611,0.735892336749469,1.25840398838371e-22,0,0.615056911250576
-0.0178534109243241,0.0122831326173706,0.644638601348952,2.69181604470229e-21,1,-0.0303061580829446,0.0394979415828702,0.770720495988704,1.68045781265769e-22,1,0.258929861709476
-0.00741389842900404,0.283709940442985,0.213118891226752,4.52942633806032e-09,0,-0.0110396647875344,0.0360369040799843,0.535143826248394,1.5705721492476e-08,1,0.351269580656663
-0.0273574870956906,0.076948376358069,0.564573820486653,2.23610459583986e-20,0,-0.0159819293108843,0.0533523607853744,0.552401114111767,6.47247528267582e-20,0,0.214025469496846
