"Tdiff","Tpdiff","Trho","Tprho","Tcause","Mdiff","Mpdiff","Mrho","Mprho","Mcause","xstr"
-0.000160281231892523,0.0713817766223967,0.624658686405692,5.30993865098618e-20,0,-0.000113018149155326,0.0246437875904217,0.86285176944345,5.2535583102136e-07,1,0.997720460407436
-0.00013390442275618,0.103266751266484,0.921242381717294,1.69192839151902e-23,0,-8.2086830016049e-05,0.0514631416218457,0.664072478311702,8.2430360340735e-21,0,0.735585493268445
-0.000120119381248173,0.0674842578533876,0.8609649729529,2.69751708357361e-23,0,-0.000165048261888676,0.0536936971934536,0.596560821311783,1.17566774881511e-21,0,0.799977608956397
-9.71786109191136e-05,0.00510800366006624,0.831535877421531,4.56876249789702e-22,1,-3.00668672462344e-05,0.318280169637064,0.894396686856418,5.16050871249224e-07,0,0.829367761034518
-7.87072119470495e-05,0.132844668925091,0.425035600606475,1.19833661715902e-16,0,-8.49356061792311e-05,0.266678326504427,0.30640133399378,1.82028134693734e-09,0,0.176126298261806
-0.000135078475805149,0.0903119209710305,0.624896483847353,1.19557247924378e-20,0,-6.7499982036308e-05,0.121002638359076,0.440775380940032,6.32552879923592e-18,0,0.620667360490188
-2.74152334777881e-05,0.102431580596663,0.290592018276643,3.92403778739598e-12,0,-0.00011663158285605,0.083209577591806,0.586555440563917,2.2967861300793e-21,0,0.236682471586391
-4.34996153590728e-05,0.290331311137448,0.649437547061609,3.86378595332451e-21,0,-0.000169555930868238,0.0344065131282141,0.772602416895638,5.47303162316277e-23,1,0.240700341993943
-8.37525396109925e-05,0.0292688556898762,0.367930793098126,2.07453561496091e-14,1,-0.000119515468099918,0.01403044841119,0.71765172961949,6.12255320896262e-07,1,0.0785400234162807
-5.0870185601086e-05,0.228742880403719,0.503397997931452,4.5405730153867e-18,0,-3.42730326834265e-05,0.0750762765045567,0.383314453124011,1.80917110906093e-15,0,0.48389684734866
-0.000187028856514197,0.050512693213217,0.628199122940105,1.31148687842946e-19,0,-8.10123538932187e-05,0.0534113334415432,0.611758533130005,4.29238404798467e-21,0,0.963608633028343
-0.000111861552743459,0.0135188419448593,0.734481746678632,5.63834327552059e-22,1,-0.000137681280443003,0.0106039904758567,0.821574928224359,3.74520363174198e-23,1,0.292581055080518
-0.000208667801999897,0.0983498833923774,0.867084654056205,1.95116600126036e-23,0,-9.26131458001486e-05,0.137025817803756,0.665654554677818,3.60090921353206e-22,0,0.498651716625318
-0.000158064232098596,0.0558236485084516,0.751800369202818,3.68305502011785e-22,0,-8.4141966719165e-05,0.0112623909505027,0.805100349006188,5.65023906058321e-07,1,0.630359739298001
-6.08882586268308e-05,0.171101384649158,0.732430421980763,1.42997829261968e-20,0,-5.26902970577106e-05,0.0654739028971286,0.565147668613585,5.8418924102022e-19,0,0.980266271624714
-4.39803861272946e-05,0.205961026136521,0.337654246146777,2.7014676593936e-11,0,-7.09866854467877e-05,0.227053094890564,0.377022465064507,4.33389792719954e-15,0,0.607292334316298
-7.22271555984064e-05,0.161019990850511,0.491199775317365,2.06300615730466e-08,0,-0.00010656622724712,0.104493951846754,0.40492416078359,1.76492832159011e-16,0,0.281204780796543
-0.00010119929564057,0.141315677691034,0.753690333567922,9.9558839689311e-20,0,-0.000117271546436365,0.0524620972463282,0.711260663039539,1.91148438978752e-22,0,0.425217069685459
-0.00010718809130428,0.0174636849097565,0.812398542397009,4.80864952962826e-22,1,-2.47923455793209e-05,0.305589687376374,0.433049705389847,2.88950425608082e-17,0,0.794740280834958
-6.65565895549046e-05,0.0552033274697327,0.447785788895752,2.99760076327646e-15,0,-4.09435988967673e-05,0.092007176777007,0.693545792039721,6.39835932360432e-07,0,0.344043504912406
-0.000109782020634919,0.0121449304825383,0.807011521506803,7.02577681049083e-21,1,-0.000120661151199765,0.00416810053216701,0.848561729016153,1.18468398837103e-22,1,0.32477269670926
-0.000100597862319427,0.0179758054477105,0.803966085243704,2.28420441064564e-22,1,-0.000112271297131352,0.0151643317223478,0.577573465322773,1.23779835143868e-21,1,0.984040002338588
-0.000249453779655189,0.121054904841899,0.938528213202107,1.60450060424822e-23,0,-0.00012313176292901,0.108336024981907,0.754021921420388,1.24284195584666e-22,0,0.547980626113713
